family,group,left,right,anchor,layer,cosine_distance,rms_normalized_l2
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,10,0.009267743993971012,0.13615776823293765
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,11,0.006590179253205597,0.1162285589051692
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,12,0.006304174307662946,0.11301401882680198
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,13,0.010490193147846272,0.14570170688557277
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,14,0.010557431311422172,0.1464824749992634
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,15,0.007992613614844046,0.12647158109286194
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,16,0.011666472376194892,0.1527933374918194
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,17,0.00482876702151569,0.09843643217841591
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,18,0.002961678504851739,0.07697566600590496
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,19,0.002575836432555212,0.07188991979371231
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,20,0.0020541201432241474,0.0640969712084663
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,21,0.0026038656592325404,0.07223840525299624
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,22,0.0017968828558061478,0.060350751027408424
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,23,0.0014109692365048554,0.05321469728357852
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,24,0.0013065378233090286,0.05119356793028783
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,25,0.0010745913172068855,0.04646177390597923
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,26,0.0010133708769158867,0.045029177213733014
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,27,0.0009113709564434469,0.042695018637416544
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,28,0.0011364126757136273,0.047686882223433605
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,29,0.0010569487801810329,0.04617228900673659
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,30,0.001221822846108056,0.04991377403304347
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,31,0.0010143656451957472,0.04631681697246781
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R2_END,32,0.00027349085636485526,0.023780836495772263
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,0,1.1102230246251565e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,1,1.2497749316664475e-05,0.004999549870270715
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,2,6.290082700888266e-05,0.011216177795654108
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,3,0.0004021542535320721,0.029503348776119695
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,4,0.0004256643884799072,0.031100049758925136
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,5,0.0006522212096200519,0.03634102688919665
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,6,0.0006741604054635308,0.03696841218308971
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,7,0.0008550006340696248,0.04136061344198818
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,8,0.0010209752246037596,0.04601628765450024
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,9,0.003012621053100628,0.07913810062638177
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,10,0.006887651233602243,0.11799843973095712
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,11,0.008317990191426317,0.12981832180301678
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,12,0.009795781837590445,0.13999256567922194
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,13,0.017213747702340854,0.18585642291628032
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,14,0.01898948145577739,0.19579361961308517
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,15,0.012557453520874229,0.15903041846709845
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,16,0.018473911189285097,0.19299493094430759
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,17,0.008901929119743857,0.1337288853829022
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,18,0.005709983152843212,0.10705555139360477
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,19,0.00529609651115559,0.1029184278485374
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,20,0.003994533631254238,0.0895105397093435
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,21,0.0052448745748602255,0.10312799823921519
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,22,0.0031806051091644028,0.08145880451668579
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,23,0.0027078215260155636,0.07506729766907334
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,24,0.0025093758857941406,0.07340837636990252
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,25,0.0021357145873707184,0.0676824590042484
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,26,0.002011227811572258,0.06678867681101344
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,27,0.0018314340829203024,0.06365373894420927
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,28,0.0017553864135908537,0.060256646855253684
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,29,0.0014687200134327894,0.05513656747347555
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,30,0.0016075615045236802,0.05800448015599016
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,31,0.0012771142484917508,0.05071013683160014
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,R1_END,32,0.0003117333112173659,0.02737249697625299
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,0,2.220446049250313e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,1,2.967344407411865e-06,0.0024361676986399596
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,2,2.9900634806012683e-05,0.0077331474385007445
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,3,0.00024656048823445964,0.022434924155205135
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,4,0.00023929785977205853,0.021895952508297102
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,5,0.00036262608831383325,0.026953989712874403
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,6,0.0004274719131897031,0.02930129135670127
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,7,0.000526446859276386,0.03326989871114051
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,8,0.0004319126849628985,0.031170105523244906
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,9,0.00047759477724929056,0.030960499952378113
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,10,0.0004553211202975582,0.03459822523391576
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,11,0.00041809296474015767,0.030023479846830986
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,12,0.0003420193283641959,0.026161025241370848
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,13,0.0007037452105153053,0.03752754174954501
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,14,0.0007498472339826368,0.03876809107771053
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,15,0.0006022841692077119,0.03497173604717002
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,16,0.0010635904234135296,0.04632786987799085
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,17,0.0007934994868754597,0.04004196005362703
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,18,0.0007948191475766198,0.04086132731300554
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,19,0.0007752235169961041,0.04117256069189195
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,20,0.0007262100405717176,0.04010277577972799
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,21,0.0008590110100664683,0.044028278180357226
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,22,0.0006354997388626771,0.03769777551544679
