experiment_id,date,direction,task_type,model,revision,paper_official_pct,reproduced_official_correct,total,reproduced_official_pct,difference_pp,candidate_only_correct,candidate_only_pct,official_wrong1,official_errors,official_wrong1_share_pct,official_candidate_agreement_correct,official_candidate_agreement_pct,audited_exact_correct,audited_exact_total,audited_variant_correct,audited_variant_total,gpu,dtype,private_source_jsonl_sha256,private_source_summary_sha256
EXP-20260824,2026-08-24,jp_zh,translation_type1,Qwen/Qwen2.5-7B-Instruct-1M,e28526f7bb80e2a9c8af03b831a9af3812f18fba,69.70,316,462,68.398,-1.302,322,69.697,121,146,82.877,425,92.0,158,233,157,226,NVIDIA A40 48GB,bfloat16,47b5cb306bfee2fa4ad793255d8d4d599b6fdb2bbada610f09120c65e4d9f130,abf60520281686a933da3daa984d3efda29310dea921d9999073206d23532f26
EXP-20260824,2026-08-24,jp_zh,translation_type1,llm-jp/llm-jp-3-7.2b-instruct3,cdd4c7f3296fdc7785423a864bd9a86ce4c15915,58.23,272,462,58.874,0.644,240,51.948,132,190,69.474,393,85.1,148,233,123,226,NVIDIA A40 48GB,bfloat16,fac083e092155d7879a1671c334917453f5a2969d747c892b2d96f9106f46254,92c61ef14e1a25152124fe7a021a9e838341df126cabb1d304796f94eec10d6b
EXP-20260824,2026-08-24,jp_zh,translation_type1,elyza/Llama-3-ELYZA-JP-8B,e6c316496ee7d9a11710c50229e8cb39b6b0a4a3,52.81,244,462,52.814,0.004,223,48.268,186,218,85.321,386,83.5,114,233,128,226,NVIDIA A40 48GB,bfloat16,caed63e1d41506010dd2647386f2ad769b4dbe9be8551ed3f6b97d1615c8c6ac,868e96463f1f1d0f701c5270ece6c4c8625767db1736ce811d3cfd3f6fd23a3d
